target_word,similar_word,similarity_score,method,model
人道,麥,0.5103305785123967,jaccard,bert
人道,者,0.5084033613445378,jaccard,bert
人道,地,0.49064449064449067,jaccard,bert
人道,初,0.48676171079429736,jaccard,bert
人道,後,0.46356275303643724,jaccard,bert
人道,世,0.4601226993865031,jaccard,bert
人道,南,0.4538152610441767,jaccard,bert
人道,器,0.4532803180914513,jaccard,bert
人道,此,0.45161290322580644,jaccard,bert
人道,張,0.44861660079051385,jaccard,bert
人道,時,0.4482758620689655,jaccard,bert
人道,種,0.44715447154471544,jaccard,bert
人道,便,0.44534412955465585,jaccard,bert
人道,或,0.44488977955911824,jaccard,bert
人道,什,0.44488977955911824,jaccard,bert
人道,書,0.4431137724550898,jaccard,bert
人道,力,0.4431137724550898,jaccard,bert
人道,大,0.44246031746031744,jaccard,bert
人道,上,0.442,jaccard,bert
人道,冬,0.442,jaccard,bert
